id,description,name,type
1237,Num. occurrences of 'often',often,numeric
1238,Num. occurrences of 'ohio',ohio,numeric
1239,Num. occurrences of 'ok',ok,numeric
1240,Num. occurrences of 'old',old,numeric
1241,Num. occurrences of 'onc',onc,numeric
1242,Num. occurrences of 'one',one,numeric
1243,Num. occurrences of 'ongo',ongo,numeric
1244,Num. occurrences of 'onli',onli,numeric
1245,Num. occurrences of 'onlin',onlin,numeric
1246,Num. occurrences of 'open',open,numeric
1247,Num. occurrences of 'oper',oper,numeric
1248,Num. occurrences of 'opinion',opinion,numeric
1249,Num. occurrences of 'opportun',opportun,numeric
1250,Num. occurrences of 'opposit',opposit,numeric
1251,Num. occurrences of 'optim',optim,numeric
1252,Num. occurrences of 'option',option,numeric
1253,Num. occurrences of 'oral',oral,numeric
1254,Num. occurrences of 'order',order,numeric
1255,Num. occurrences of 'org',org,numeric
1256,Num. occurrences of 'organ',organ,numeric
1257,Num. occurrences of 'organis',organis,numeric
1258,Num. occurrences of 'orient',orient,numeric
1259,Num. occurrences of 'origin',origin,numeric
1260,Num. occurrences of 'ot',ot,numeric
1261,Num. occurrences of 'otherwis',otherwis,numeric
1262,Num. occurrences of 'ou',ou,numeric
1263,Num. occurrences of 'outlin',outlin,numeric
1264,Num. occurrences of 'outsid',outsid,numeric
1265,Num. occurrences of 'overt',overt,numeric
1266,Num. occurrences of 'overview',overview,numeric
1267,Num. occurrences of 'oxford',oxford,numeric
1268,Num. occurrences of 'pa',pa,numeric
1269,Num. occurrences of 'pacif',pacif,numeric
1270,Num. occurrences of 'packag',packag,numeric
1271,Num. occurrences of 'page',page,numeric
1272,Num. occurrences of 'paid',paid,numeric
1273,Num. occurrences of 'panel',panel,numeric
1274,Num. occurrences of 'paper',paper,numeric
1275,Num. occurrences of 'paperback',paperback,numeric
1276,Num. occurrences of 'par',par,numeric
1277,Num. occurrences of 'paradigm',paradigm,numeric
1278,Num. occurrences of 'parallel',parallel,numeric
1279,Num. occurrences of 'paramet',paramet,numeric
1280,Num. occurrences of 'pari',pari,numeric
1281,Num. occurrences of 'park',park,numeric
1282,Num. occurrences of 'pars',pars,numeric
1283,Num. occurrences of 'parser',parser,numeric
1284,Num. occurrences of 'part',part,numeric
1285,Num. occurrences of 'parti',parti,numeric
1286,Num. occurrences of 'partial',partial,numeric
1287,Num. occurrences of 'particip',particip,numeric
1288,Num. occurrences of 'particl',particl,numeric
1289,Num. occurrences of 'particular',particular,numeric
1290,Num. occurrences of 'particularli',particularli,numeric
1291,Num. occurrences of 'partner',partner,numeric
1292,Num. occurrences of 'pass',pass,numeric
1293,Num. occurrences of 'passiv',passiv,numeric
1294,Num. occurrences of 'past',past,numeric
1295,Num. occurrences of 'patrick',patrick,numeric
1296,Num. occurrences of 'pattern',pattern,numeric
1297,Num. occurrences of 'paul',paul,numeric
1298,Num. occurrences of 'pay',pay,numeric
1299,Num. occurrences of 'payabl',payabl,numeric
1300,Num. occurrences of 'payment',payment,numeric
1301,Num. occurrences of 'pb',pb,numeric
1302,Num. occurrences of 'pc',pc,numeric
1303,Num. occurrences of 'pennsylvania',pennsylvania,numeric
1304,Num. occurrences of 'peopl',peopl,numeric
1305,Num. occurrences of 'per',per,numeric
1306,Num. occurrences of 'perceiv',perceiv,numeric
1307,Num. occurrences of 'percept',percept,numeric
1308,Num. occurrences of 'perfect',perfect,numeric
1309,Num. occurrences of 'perfectli',perfectli,numeric
1310,Num. occurrences of 'perform',perform,numeric
1311,Num. occurrences of 'perhap',perhap,numeric
1312,Num. occurrences of 'period',period,numeric
1313,Num. occurrences of 'person',person,numeric
1314,Num. occurrences of 'perspect',perspect,numeric
1315,Num. occurrences of 'peseta',peseta,numeric
1316,Num. occurrences of 'peter',peter,numeric
1317,Num. occurrences of 'ph',ph,numeric
1318,Num. occurrences of 'phd',phd,numeric
1319,Num. occurrences of 'phenomena',phenomena,numeric
1320,Num. occurrences of 'phenomenon',phenomenon,numeric
1321,Num. occurrences of 'philadelphia',philadelphia,numeric
1322,Num. occurrences of 'philosoph',philosoph,numeric
1323,Num. occurrences of 'philosophi',philosophi,numeric
1324,Num. occurrences of 'phone',phone,numeric
1325,Num. occurrences of 'phonem',phonem,numeric
1326,Num. occurrences of 'phonet',phonet,numeric
1327,Num. occurrences of 'phonolog',phonolog,numeric
1328,Num. occurrences of 'phrase',phrase,numeric
1329,Num. occurrences of 'physic',physic,numeric
1330,Num. occurrences of 'pick',pick,numeric
1331,Num. occurrences of 'pictur',pictur,numeric
1332,Num. occurrences of 'pidgin',pidgin,numeric
1333,Num. occurrences of 'piec',piec,numeric
1334,Num. occurrences of 'pierr',pierr,numeric
1335,Num. occurrences of 'pittsburgh',pittsburgh,numeric
1336,Num. occurrences of 'pl',pl,numeric
1337,Num. occurrences of 'place',place,numeric
1338,Num. occurrences of 'plain',plain,numeric
1339,Num. occurrences of 'plan',plan,numeric
1340,Num. occurrences of 'play',play,numeric
1341,Num. occurrences of 'pleas',pleas,numeric
1342,Num. occurrences of 'plenari',plenari,numeric
1343,Num. occurrences of 'plu',plu,numeric
1344,Num. occurrences of 'plural',plural,numeric
1345,Num. occurrences of 'pm',pm,numeric
1346,Num. occurrences of 'po',po,numeric
1347,Num. occurrences of 'point',point,numeric
1348,Num. occurrences of 'polici',polici,numeric
1349,Num. occurrences of 'polish',polish,numeric
1350,Num. occurrences of 'polit',polit,numeric
1351,Num. occurrences of 'popul',popul,numeric
1352,Num. occurrences of 'popular',popular,numeric
1353,Num. occurrences of 'portugues',portugues,numeric
1354,Num. occurrences of 'posit',posit,numeric
1355,Num. occurrences of 'possess',possess,numeric
1356,Num. occurrences of 'possibl',possibl,numeric
1357,Num. occurrences of 'post',post,numeric
1358,Num. occurrences of 'postag',postag,numeric
1359,Num. occurrences of 'postal',postal,numeric
1360,Num. occurrences of 'poster',poster,numeric
1361,Num. occurrences of 'postfach',postfach,numeric
1362,Num. occurrences of 'postscript',postscript,numeric
1363,Num. occurrences of 'potenti',potenti,numeric
1364,Num. occurrences of 'pound',pound,numeric
1365,Num. occurrences of 'pour',pour,numeric
1366,Num. occurrences of 'power',power,numeric
1367,Num. occurrences of 'pp',pp,numeric
1368,Num. occurrences of 'practic',practic,numeric
1369,Num. occurrences of 'pragmat',pragmat,numeric
1370,Num. occurrences of 'pre',pre,numeric
1371,Num. occurrences of 'preced',preced,numeric
1372,Num. occurrences of 'predic',predic,numeric
1373,Num. occurrences of 'predict',predict,numeric
1374,Num. occurrences of 'prefer',prefer,numeric
1375,Num. occurrences of 'prefix',prefix,numeric
1376,Num. occurrences of 'preliminari',preliminari,numeric
1377,Num. occurrences of 'prepar',prepar,numeric
1378,Num. occurrences of 'preposit',preposit,numeric
1379,Num. occurrences of 'presenc',presenc,numeric
1380,Num. occurrences of 'present',present,numeric
1381,Num. occurrences of 'presid',presid,numeric
1382,Num. occurrences of 'press',press,numeric
1383,Num. occurrences of 'pretti',pretti,numeric
1384,Num. occurrences of 'previou',previou,numeric
1385,Num. occurrences of 'previous',previous,numeric
1386,Num. occurrences of 'price',price,numeric
1387,Num. occurrences of 'primari',primari,numeric
1388,Num. occurrences of 'primarili',primarili,numeric
1389,Num. occurrences of 'principl',principl,numeric
1390,Num. occurrences of 'print',print,numeric
1391,Num. occurrences of 'prior',prior,numeric
1392,Num. occurrences of 'privat',privat,numeric
1393,Num. occurrences of 'prize',prize,numeric
1394,Num. occurrences of 'probabl',probabl,numeric
1395,Num. occurrences of 'problem',problem,numeric
1396,Num. occurrences of 'procedur',procedur,numeric
1397,Num. occurrences of 'proceed',proceed,numeric
1398,Num. occurrences of 'process',process,numeric
1399,Num. occurrences of 'produc',produc,numeric
1400,Num. occurrences of 'product',product,numeric
1401,Num. occurrences of 'prof',prof,numeric
1402,Num. occurrences of 'profession',profession,numeric
1403,Num. occurrences of 'professor',professor,numeric
1404,Num. occurrences of 'profit',profit,numeric
1405,Num. occurrences of 'program',program,numeric
1406,Num. occurrences of 'programm',programm,numeric
1407,Num. occurrences of 'progress',progress,numeric
1408,Num. occurrences of 'project',project,numeric
1409,Num. occurrences of 'promis',promis,numeric
1410,Num. occurrences of 'promot',promot,numeric
1411,Num. occurrences of 'pronoun',pronoun,numeric
1412,Num. occurrences of 'pronounc',pronounc,numeric
1413,Num. occurrences of 'pronunci',pronunci,numeric
1414,Num. occurrences of 'proof',proof,numeric
1415,Num. occurrences of 'proper',proper,numeric
1416,Num. occurrences of 'properti',properti,numeric
1417,Num. occurrences of 'propos',propos,numeric
1418,Num. occurrences of 'prosod',prosod,numeric
1419,Num. occurrences of 'prosodi',prosodi,numeric
1420,Num. occurrences of 'prospect',prospect,numeric
1421,Num. occurrences of 'protect',protect,numeric
1422,Num. occurrences of 'proto',proto,numeric
1423,Num. occurrences of 'prove',prove,numeric
1424,Num. occurrences of 'proven',proven,numeric
1425,Num. occurrences of 'provid',provid,numeric
1426,Num. occurrences of 'psycholinguist',psycholinguist,numeric
1427,Num. occurrences of 'psycholog',psycholog,numeric
1428,Num. occurrences of 'pt',pt,numeric
1429,Num. occurrences of 'pub',pub,numeric
1430,Num. occurrences of 'public',public,numeric
1431,Num. occurrences of 'publish',publish,numeric
1432,Num. occurrences of 'purchas',purchas,numeric
1433,Num. occurrences of 'pure',pure,numeric
1434,Num. occurrences of 'purpos',purpos,numeric
1435,Num. occurrences of 'put',put,numeric
1436,Num. occurrences of 'qualif',qualif,numeric
1437,Num. occurrences of 'qualifi',qualifi,numeric
1438,Num. occurrences of 'qualiti',qualiti,numeric
1439,Num. occurrences of 'quantifi',quantifi,numeric
1440,Num. occurrences of 'quantit',quantit,numeric
1441,Num. occurrences of 'que',que,numeric
1442,Num. occurrences of 'queri',queri,numeric
1443,Num. occurrences of 'question',question,numeric
1444,Num. occurrences of 'qui',qui,numeric
1445,Num. occurrences of 'quick',quick,numeric
1446,Num. occurrences of 'quickli',quickli,numeric
1447,Num. occurrences of 'quit',quit,numeric
1448,Num. occurrences of 'quot',quot,numeric
1449,Num. occurrences of 'radio',radio,numeric
1450,Num. occurrences of 'rais',rais,numeric
1451,Num. occurrences of 'rang',rang,numeric
1452,Num. occurrences of 'rank',rank,numeric
1453,Num. occurrences of 'rate',rate,numeric
1454,Num. occurrences of 'rather',rather,numeric
1455,Num. occurrences of 're',re,numeric
1456,Num. occurrences of 'reach',reach,numeric
1457,Num. occurrences of 'read',read,numeric
1458,Num. occurrences of 'reader',reader,numeric
1459,Num. occurrences of 'readi',readi,numeric
1460,Num. occurrences of 'real',real,numeric
1461,Num. occurrences of 'realiti',realiti,numeric
1462,Num. occurrences of 'realiz',realiz,numeric
1463,Num. occurrences of 'realli',realli,numeric
1464,Num. occurrences of 'reason',reason,numeric
1465,Num. occurrences of 'receipt',receipt,numeric
1466,Num. occurrences of 'receiv',receiv,numeric
1467,Num. occurrences of 'recent',recent,numeric
1468,Num. occurrences of 'recept',recept,numeric
1469,Num. occurrences of 'recogn',recogn,numeric
1470,Num. occurrences of 'recognit',recognit,numeric
1471,Num. occurrences of 'recommend',recommend,numeric
1472,Num. occurrences of 'reconstruct',reconstruct,numeric
1473,Num. occurrences of 'record',record,numeric
1474,Num. occurrences of 'recruit',recruit,numeric
1475,Num. occurrences of 'reduc',reduc,numeric
1476,Num. occurrences of 'redupl',redupl,numeric
1477,Num. occurrences of 'refer',refer,numeric
1478,Num. occurrences of 'refere',refere,numeric
1479,Num. occurrences of 'reflect',reflect,numeric
1480,Num. occurrences of 'reflex',reflex,numeric
1481,Num. occurrences of 'refund',refund,numeric
1482,Num. occurrences of 'regard',regard,numeric
1483,Num. occurrences of 'region',region,numeric
1484,Num. occurrences of 'regist',regist,numeric
1485,Num. occurrences of 'registr',registr,numeric
1486,Num. occurrences of 'regular',regular,numeric
1487,Num. occurrences of 'reject',reject,numeric
1488,Num. occurrences of 'rel',rel,numeric
1489,Num. occurrences of 'relat',relat,numeric
1490,Num. occurrences of 'relationship',relationship,numeric
1491,Num. occurrences of 'releas',releas,numeric
1492,Num. occurrences of 'relev',relev,numeric
1493,Num. occurrences of 'remain',remain,numeric
1494,Num. occurrences of 'remark',remark,numeric
1495,Num. occurrences of 'rememb',rememb,numeric
1496,Num. occurrences of 'remind',remind,numeric
1497,Num. occurrences of 'remov',remov,numeric
1498,Num. occurrences of 'ren',ren,numeric
1499,Num. occurrences of 'replac',replac,numeric
1500,Num. occurrences of 'repli',repli,numeric
1501,Num. occurrences of 'report',report,numeric
1502,Num. occurrences of 'repres',repres,numeric
1503,Num. occurrences of 'represent',represent,numeric
1504,Num. occurrences of 'request',request,numeric
1505,Num. occurrences of 'requir',requir,numeric
1506,Num. occurrences of 'research',research,numeric
1507,Num. occurrences of 'reserv',reserv,numeric
1508,Num. occurrences of 'resid',resid,numeric
1509,Num. occurrences of 'resolut',resolut,numeric
1510,Num. occurrences of 'resourc',resourc,numeric
1511,Num. occurrences of 'respect',respect,numeric
1512,Num. occurrences of 'respond',respond,numeric
1513,Num. occurrences of 'respons',respons,numeric
1514,Num. occurrences of 'rest',rest,numeric
1515,Num. occurrences of 'restrict',restrict,numeric
1516,Num. occurrences of 'result',result,numeric
1517,Num. occurrences of 'retir',retir,numeric
1518,Num. occurrences of 'retriev',retriev,numeric
1519,Num. occurrences of 'return',return,numeric
1520,Num. occurrences of 'reveal',reveal,numeric
1521,Num. occurrences of 'review',review,numeric
1522,Num. occurrences of 'revis',revis,numeric
1523,Num. occurrences of 'rich',rich,numeric
1524,Num. occurrences of 'richard',richard,numeric
1525,Num. occurrences of 'right',right,numeric
1526,Num. occurrences of 'risk',risk,numeric
1527,Num. occurrences of 'river',river,numeric
1528,Num. occurrences of 'road',road,numeric
1529,Num. occurrences of 'robert',robert,numeric
1530,Num. occurrences of 'robust',robust,numeric
1531,Num. occurrences of 'roger',roger,numeric
1532,Num. occurrences of 'role',role,numeric
1533,Num. occurrences of 'roma',roma,numeric
1534,Num. occurrences of 'roman',roman,numeric
1535,Num. occurrences of 'romanc',romanc,numeric
1536,Num. occurrences of 'room',room,numeric
1537,Num. occurrences of 'root',root,numeric
1538,Num. occurrences of 'round',round,numeric
1539,Num. occurrences of 'routledg',routledg,numeric
1540,Num. occurrences of 'rug',rug,numeric
1541,Num. occurrences of 'rule',rule,numeric
1542,Num. occurrences of 'run',run,numeric
1543,Num. occurrences of 'russel',russel,numeric
1544,Num. occurrences of 'russia',russia,numeric
1545,Num. occurrences of 'russian',russian,numeric
1546,Num. occurrences of 'rutger',rutger,numeric
1547,Num. occurrences of 'saarbruecken',saarbruecken,numeric
1548,Num. occurrences of 'said',said,numeric
1549,Num. occurrences of 'salari',salari,numeric
1550,Num. occurrences of 'sale',sale,numeric
1551,Num. occurrences of 'salford',salford,numeric
1552,Num. occurrences of 'sampl',sampl,numeric
1553,Num. occurrences of 'san',san,numeric
1554,Num. occurrences of 'santa',santa,numeric
1555,Num. occurrences of 'saturday',saturday,numeric
1556,Num. occurrences of 'save',save,numeric
1557,Num. occurrences of 'saw',saw,numeric
1558,Num. occurrences of 'say',say,numeric
1559,Num. occurrences of 'schedul',schedul,numeric
1560,Num. occurrences of 'scheme',scheme,numeric
1561,Num. occurrences of 'scholar',scholar,numeric
1562,Num. occurrences of 'school',school,numeric
1563,Num. occurrences of 'scienc',scienc,numeric
1564,Num. occurrences of 'scientif',scientif,numeric
1565,Num. occurrences of 'scientist',scientist,numeric
1566,Num. occurrences of 'scope',scope,numeric
1567,Num. occurrences of 'scotland',scotland,numeric
1568,Num. occurrences of 'scott',scott,numeric
1569,Num. occurrences of 'se',se,numeric
1570,Num. occurrences of 'search',search,numeric
1571,Num. occurrences of 'second',second,numeric
1572,Num. occurrences of 'secret',secret,numeric
1573,Num. occurrences of 'secretari',secretari,numeric
1574,Num. occurrences of 'secretariat',secretariat,numeric
1575,Num. occurrences of 'section',section,numeric
1576,Num. occurrences of 'secur',secur,numeric
1577,Num. occurrences of 'see',see,numeric
1578,Num. occurrences of 'seek',seek,numeric
1579,Num. occurrences of 'seem',seem,numeric
1580,Num. occurrences of 'seen',seen,numeric
1581,Num. occurrences of 'segment',segment,numeric
1582,Num. occurrences of 'select',select,numeric
1583,Num. occurrences of 'self',self,numeric
1584,Num. occurrences of 'sell',sell,numeric
1585,Num. occurrences of 'semant',semant,numeric
1586,Num. occurrences of 'seminar',seminar,numeric
1587,Num. occurrences of 'semit',semit,numeric
1588,Num. occurrences of 'send',send,numeric
1589,Num. occurrences of 'sens',sens,numeric
1590,Num. occurrences of 'sent',sent,numeric
1591,Num. occurrences of 'sentenc',sentenc,numeric
1592,Num. occurrences of 'separ',separ,numeric
1593,Num. occurrences of 'sept',sept,numeric
1594,Num. occurrences of 'septemb',septemb,numeric
1595,Num. occurrences of 'sequenc',sequenc,numeric
1596,Num. occurrences of 'seri',seri,numeric
1597,Num. occurrences of 'seriou',seriou,numeric
1598,Num. occurrences of 'serv',serv,numeric
1599,Num. occurrences of 'server',server,numeric
1600,Num. occurrences of 'servic',servic,numeric
1601,Num. occurrences of 'session',session,numeric
1602,Num. occurrences of 'set',set,numeric
1603,Num. occurrences of 'seven',seven,numeric
1604,Num. occurrences of 'sever',sever,numeric
1605,Num. occurrences of 'sex',sex,numeric
1606,Num. occurrences of 'sexual',sexual,numeric
1607,Num. occurrences of 'shape',shape,numeric
1608,Num. occurrences of 'share',share,numeric
1609,Num. occurrences of 'sheet',sheet,numeric
1610,Num. occurrences of 'sheffield',sheffield,numeric
1611,Num. occurrences of 'shift',shift,numeric
1612,Num. occurrences of 'ship',ship,numeric
1613,Num. occurrences of 'shop',shop,numeric
1614,Num. occurrences of 'shor',shor,numeric
1615,Num. occurrences of 'short',short,numeric
1616,Num. occurrences of 'show',show,numeric
1617,Num. occurrences of 'shown',shown,numeric
1618,Num. occurrences of 'side',side,numeric
1619,Num. occurrences of 'sign',sign,numeric
1620,Num. occurrences of 'signal',signal,numeric
1621,Num. occurrences of 'signatur',signatur,numeric
1622,Num. occurrences of 'signific',signific,numeric
1623,Num. occurrences of 'similar',similar,numeric
1624,Num. occurrences of 'simon',simon,numeric
1625,Num. occurrences of 'simpl',simpl,numeric
1626,Num. occurrences of 'simpli',simpli,numeric
1627,Num. occurrences of 'sinc',sinc,numeric
1628,Num. occurrences of 'sincer',sincer,numeric
1629,Num. occurrences of 'singapor',singapor,numeric
1630,Num. occurrences of 'singl',singl,numeric
1631,Num. occurrences of 'singular',singular,numeric
1632,Num. occurrences of 'site',site,numeric
1633,Num. occurrences of 'situat',situat,numeric
1634,Num. occurrences of 'six',six,numeric
1635,Num. occurrences of 'size',size,numeric
1636,Num. occurrences of 'skill',skill,numeric
1637,Num. occurrences of 'slavic',slavic,numeric
1638,Num. occurrences of 'small',small,numeric
1639,Num. occurrences of 'smith',smith,numeric
1640,Num. occurrences of 'snow',snow,numeric
1641,Num. occurrences of 'soa',soa,numeric
1642,Num. occurrences of 'social',social,numeric
1643,Num. occurrences of 'societi',societi,numeric
1644,Num. occurrences of 'sociolinguist',sociolinguist,numeric
1645,Num. occurrences of 'sociolog',sociolog,numeric
1646,Num. occurrences of 'softwar',softwar,numeric
1647,Num. occurrences of 'sold',sold,numeric
1648,Num. occurrences of 'solicit',solicit,numeric
1649,Num. occurrences of 'solut',solut,numeric
1650,Num. occurrences of 'solv',solv,numeric
1651,Num. occurrences of 'someon',someon,numeric
1652,Num. occurrences of 'someth',someth,numeric
1653,Num. occurrences of 'sometim',sometim,numeric
1654,Num. occurrences of 'somewhat',somewhat,numeric
1655,Num. occurrences of 'song',song,numeric
1656,Num. occurrences of 'soon',soon,numeric
1657,Num. occurrences of 'sorri',sorri,numeric
1658,Num. occurrences of 'sort',sort,numeric
1659,Num. occurrences of 'sound',sound,numeric
1660,Num. occurrences of 'sourc',sourc,numeric
1661,Num. occurrences of 'south',south,numeric
1662,Num. occurrences of 'southern',southern,numeric
1663,Num. occurrences of 'space',space,numeric
1664,Num. occurrences of 'spain',spain,numeric
1665,Num. occurrences of 'spanish',spanish,numeric
1666,Num. occurrences of 'spatial',spatial,numeric
1667,Num. occurrences of 'speak',speak,numeric
1668,Num. occurrences of 'speaker',speaker,numeric
1669,Num. occurrences of 'special',special,numeric
1670,Num. occurrences of 'specialist',specialist,numeric
1671,Num. occurrences of 'specif',specif,numeric
1672,Num. occurrences of 'specifi',specifi,numeric
1673,Num. occurrences of 'speech',speech,numeric
1674,Num. occurrences of 'speed',speed,numeric
1675,Num. occurrences of 'spell',spell,numeric
1676,Num. occurrences of 'spend',spend,numeric
1677,Num. occurrences of 'spoken',spoken,numeric
1678,Num. occurrences of 'sponsor',sponsor,numeric
1679,Num. occurrences of 'spontan',spontan,numeric
1680,Num. occurrences of 'sprachwissenschaft',sprachwissenschaft,numeric
1681,Num. occurrences of 'spring',spring,numeric
1682,Num. occurrences of 'st',st,numeric
1683,Num. occurrences of 'staff',staff,numeric
1684,Num. occurrences of 'stage',stage,numeric
1685,Num. occurrences of 'stamp',stamp,numeric
1686,Num. occurrences of 'stand',stand,numeric
1687,Num. occurrences of 'standard',standard,numeric
1688,Num. occurrences of 'stanford',stanford,numeric
1689,Num. occurrences of 'star',star,numeric
1690,Num. occurrences of 'start',start,numeric
1691,Num. occurrences of 'state',state,numeric
1692,Num. occurrences of 'statement',statement,numeric
1693,Num. occurrences of 'station',station,numeric
1694,Num. occurrences of 'statist',statist,numeric
1695,Num. occurrences of 'statu',statu,numeric
1696,Num. occurrences of 'stay',stay,numeric
1697,Num. occurrences of 'stealth',stealth,numeric
1698,Num. occurrences of 'stem',stem,numeric
1699,Num. occurrences of 'step',step,numeric
1700,Num. occurrences of 'stephen',stephen,numeric
1701,Num. occurrences of 'sterl',sterl,numeric
1702,Num. occurrences of 'steve',steve,numeric
1703,Num. occurrences of 'steven',steven,numeric
1704,Num. occurrences of 'still',still,numeric
1705,Num. occurrences of 'stock',stock,numeric
1706,Num. occurrences of 'stop',stop,numeric
1707,Num. occurrences of 'store',store,numeric
1708,Num. occurrences of 'stori',stori,numeric
1709,Num. occurrences of 'strategi',strategi,numeric
1710,Num. occurrences of 'street',street,numeric
1711,Num. occurrences of 'stress',stress,numeric
1712,Num. occurrences of 'strong',strong,numeric
1713,Num. occurrences of 'strongli',strongli,numeric
1714,Num. occurrences of 'structur',structur,numeric
1715,Num. occurrences of 'student',student,numeric
1716,Num. occurrences of 'studi',studi,numeric
1717,Num. occurrences of 'stuttgart',stuttgart,numeric
1718,Num. occurrences of 'style',style,numeric
1719,Num. occurrences of 'submiss',submiss,numeric
1720,Num. occurrences of 'submit',submit,numeric
1721,Num. occurrences of 'subscrib',subscrib,numeric
1722,Num. occurrences of 'subscript',subscript,numeric
1723,Num. occurrences of 'substanti',substanti,numeric
1724,Num. occurrences of 'success',success,numeric
1725,Num. occurrences of 'suffici',suffici,numeric
1726,Num. occurrences of 'suffix',suffix,numeric
1727,Num. occurrences of 'suggest',suggest,numeric
1728,Num. occurrences of 'suit',suit,numeric
1729,Num. occurrences of 'suitabl',suitabl,numeric
1730,Num. occurrences of 'sum',sum,numeric
1731,Num. occurrences of 'summar',summar,numeric
1732,Num. occurrences of 'summari',summari,numeric
1733,Num. occurrences of 'summer',summer,numeric
1734,Num. occurrences of 'sun',sun,numeric
1735,Num. occurrences of 'sunday',sunday,numeric
1736,Num. occurrences of 'suppli',suppli,numeric
1737,Num. occurrences of 'support',support,numeric
1738,Num. occurrences of 'suppos',suppos,numeric
1739,Num. occurrences of 'sur',sur,numeric
1740,Num. occurrences of 'sure',sure,numeric
1741,Num. occurrences of 'surfac',surfac,numeric
1742,Num. occurrences of 'surpris',surpris,numeric
1743,Num. occurrences of 'survey',survey,numeric
1744,Num. occurrences of 'susan',susan,numeric
1745,Num. occurrences of 'sussex',sussex,numeric
1746,Num. occurrences of 'susx',susx,numeric
1747,Num. occurrences of 'sweden',sweden,numeric
1748,Num. occurrences of 'switzerland',switzerland,numeric
1749,Num. occurrences of 'syllabl',syllabl,numeric
1750,Num. occurrences of 'symbol',symbol,numeric
1751,Num. occurrences of 'symposium',symposium,numeric
1752,Num. occurrences of 'synchron',synchron,numeric
1753,Num. occurrences of 'syntact',syntact,numeric
1754,Num. occurrences of 'syntax',syntax,numeric
1755,Num. occurrences of 'synthesi',synthesi,numeric
1756,Num. occurrences of 'synthet',synthet,numeric
1757,Num. occurrences of 'system',system,numeric
1758,Num. occurrences of 'systemat',systemat,numeric
1759,Num. occurrences of 'tabl',tabl,numeric
1760,Num. occurrences of 'tag',tag,numeric
1761,Num. occurrences of 'taiwan',taiwan,numeric
1762,Num. occurrences of 'take',take,numeric
1763,Num. occurrences of 'taken',taken,numeric
1764,Num. occurrences of 'talk',talk,numeric
1765,Num. occurrences of 'tape',tape,numeric
1766,Num. occurrences of 'target',target,numeric
1767,Num. occurrences of 'task',task,numeric
1768,Num. occurrences of 'taught',taught,numeric
1769,Num. occurrences of 'tax',tax,numeric
1770,Num. occurrences of 'tea',tea,numeric
1771,Num. occurrences of 'teach',teach,numeric
1772,Num. occurrences of 'teacher',teacher,numeric
1773,Num. occurrences of 'team',team,numeric
1774,Num. occurrences of 'technic',technic,numeric
1775,Num. occurrences of 'techniqu',techniqu,numeric
1776,Num. occurrences of 'technolog',technolog,numeric
1777,Num. occurrences of 'tei',tei,numeric
1778,Num. occurrences of 'tel',tel,numeric
1779,Num. occurrences of 'telephon',telephon,numeric
1780,Num. occurrences of 'tell',tell,numeric
1781,Num. occurrences of 'tempor',tempor,numeric
1782,Num. occurrences of 'ten',ten,numeric
1783,Num. occurrences of 'tend',tend,numeric
1784,Num. occurrences of 'tens',tens,numeric
1785,Num. occurrences of 'tent',tent,numeric
1786,Num. occurrences of 'term',term,numeric
1787,Num. occurrences of 'terminolog',terminolog,numeric
1788,Num. occurrences of 'test',test,numeric
1789,Num. occurrences of 'texa',texa,numeric
1790,Num. occurrences of 'text',text,numeric
1791,Num. occurrences of 'textbook',textbook,numeric
1792,Num. occurrences of 'textual',textual,numeric
1793,Num. occurrences of 'thank',thank,numeric
1794,Num. occurrences of 'themat',themat,numeric
1795,Num. occurrences of 'theme',theme,numeric
1796,Num. occurrences of 'themselv',themselv,numeric
1797,Num. occurrences of 'theoret',theoret,numeric
1798,Num. occurrences of 'theori',theori,numeric
1799,Num. occurrences of 'therefor',therefor,numeric
1800,Num. occurrences of 'thesi',thesi,numeric
1801,Num. occurrences of 'thi',thi,numeric
1802,Num. occurrences of 'thing',thing,numeric
1803,Num. occurrences of 'think',think,numeric
1804,Num. occurrences of 'third',third,numeric
1805,Num. occurrences of 'thoma',thoma,numeric
1806,Num. occurrences of 'though',though,numeric
1807,Num. occurrences of 'thought',thought,numeric
1808,Num. occurrences of 'thousand',thousand,numeric
1809,Num. occurrences of 'three',three,numeric
1810,Num. occurrences of 'throughout',throughout,numeric
1811,Num. occurrences of 'thu',thu,numeric
1812,Num. occurrences of 'thursday',thursday,numeric
1813,Num. occurrences of 'ticket',ticket,numeric
1814,Num. occurrences of 'tilburg',tilburg,numeric
1815,Num. occurrences of 'time',time,numeric
1816,Num. occurrences of 'tip',tip,numeric
1817,Num. occurrences of 'titl',titl,numeric
1818,Num. occurrences of 'tm',tm,numeric
1819,Num. occurrences of 'today',today,numeric
1820,Num. occurrences of 'togeth',togeth,numeric
1821,Num. occurrences of 'tok',tok,numeric
1822,Num. occurrences of 'tokyo',tokyo,numeric
1823,Num. occurrences of 'told',told,numeric
1824,Num. occurrences of 'toll',toll,numeric
1825,Num. occurrences of 'tone',tone,numeric
1826,Num. occurrences of 'tongu',tongu,numeric
1827,Num. occurrences of 'toni',toni,numeric
1828,Num. occurrences of 'took',took,numeric
1829,Num. occurrences of 'tool',tool,numeric
1830,Num. occurrences of 'top',top,numeric
1831,Num. occurrences of 'topic',topic,numeric
